"Geographic.Area.Code","Geographic.Area.Name","Geographic.Area.Level","Parent.Geographic.Area.Code","Parent.Geographic.Area.Name","Geographic.Area.Type","X","Y","ISO.Code","Units.Code","Units.Desc","Time.Series.Id","Time.Series.Keys","Number.of.Years.Available","Earliest.Year.Available","Latest.Year.Available","Available.Years","Value.2000","Value.2005","Value.2010","Value.2015","Value.2019","ObjectId","x2","y2"
558,"Nicaragua",4,13,"Central America","Country",-85.03060315,12.84210839,"NIC","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15___T","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",5.03632,5.28327,4.7612,5.02135,5.06736,78,-9465563.44450292,1441699.23934597
558,"Nicaragua",4,13,"Central America","Country",-85.03060315,12.84210839,"NIC","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15__F","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",2.06036,2.1556,1.92996,2.01808,2.02282,79,-9465563.44450292,1441699.23934597
558,"Nicaragua",4,13,"Central America","Country",-85.03060315,12.84210839,"NIC","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15__M","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",8.21028,8.62637,7.79355,8.22866,8.31254,80,-9465563.44450292,1441699.23934597
562,"Niger",4,11,"Western Africa","Country",9.400167877,17.42143036,"NER","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15___T","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",0.24761,0.249,0.30504,0.54059,0.52003,81,1046421.90143893,1969937.69468918
562,"Niger",4,11,"Western Africa","Country",9.400167877,17.42143036,"NER","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15__F","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",0.0717,0.07213,0.08959,0.15912,0.15296,82,1046421.90143893,1969937.69468918
562,"Niger",4,11,"Western Africa","Country",9.400167877,17.42143036,"NER","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15__M","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",0.43564,0.43544,0.52885,0.93122,0.8934,83,1046421.90143893,1969937.69468918
566,"Nigeria",4,11,"Western Africa","Country",8.097363256,9.585789025,"NGA","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15___T","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",6.78531,6.78095,5.8718,6.10877,6.18859,84,901394.354426084,1072098.31229796
566,"Nigeria",4,11,"Western Africa","Country",8.097363256,9.585789025,"NGA","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15__F","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",2.64379,2.67584,2.29922,2.45055,2.4938,85,901394.354426084,1072098.31229796
566,"Nigeria",4,11,"Western Africa","Country",8.097363256,9.585789025,"NGA","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15__M","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",10.91686,10.86233,9.41156,9.72436,9.83606,86,901394.354426084,1072098.31229796
570,"Niue",4,543,"Oceania (exc. Australia and New Zealand)","Country",-169.8601693,-19.05000475,"NIU","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15___T","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",7.90181,7.37406,6.79194,9.58232,9.92683,87,-18908747.5525352,-2160824.04962221
